city,state_id,lat,lng,population,density,city_with_state
Greenbrier,AR,35.2289,-92.3836,5755,280.0,"Greenbrier, AR"
Dos Palos,CA,36.9854,-120.6338,5755,1646.9,"Dos Palos, CA"
The Meadows,FL,27.3647,-82.4716,5752,934.3,"The Meadows, FL"
Union Beach,NJ,40.4454,-74.1699,5751,1246.3,"Union Beach, NJ"
Waimanalo,HI,21.3421,-157.7303,5743,508.8,"Waimanalo, HI"
Paola,KS,38.5788,-94.8617,5742,418.4,"Paola, KS"
Central City,KY,37.2963,-87.128,5740,423.2,"Central City, KY"
Ephraim,UT,39.3563,-111.5845,5739,498.5,"Ephraim, UT"
New Holland,PA,40.1008,-76.09,5734,1139.4,"New Holland, PA"
Washingtonville,NY,41.4297,-74.1577,5733,872.1,"Washingtonville, NY"
Ranchettes,WY,41.2186,-104.7729,5731,45.4,"Ranchettes, WY"
Sherwood Manor,CT,42.0101,-72.5667,5731,587.7,"Sherwood Manor, CT"
Snyderville,UT,40.7041,-111.5434,5730,203.6,"Snyderville, UT"
Punxsutawney,PA,40.9438,-78.9767,5730,657.2,"Punxsutawney, PA"
Grafton,OH,41.2809,-82.038,5730,448.6,"Grafton, OH"
Rancho Murieta,CA,38.5085,-121.0716,5728,186.1,"Rancho Murieta, CA"
Sandersville,GA,32.9827,-82.8089,5727,171.8,"Sandersville, GA"
Cocoa West,FL,28.3591,-80.7713,5727,605.8,"Cocoa West, FL"
Schlusser,PA,40.2433,-77.1802,5725,642.1,"Schlusser, PA"
Carlinville,IL,39.2775,-89.8762,5724,656.1,"Carlinville, IL"
Oxford,PA,39.7858,-75.9801,5724,1125.9,"Oxford, PA"
Mount Carmel,PA,40.7959,-76.4119,5723,3340.0,"Mount Carmel, PA"
Anadarko,OK,35.065,-98.2443,5723,311.0,"Anadarko, OK"
Covington,VA,37.7786,-79.9867,5722,404.0,"Covington, VA"
Marion,VA,36.8379,-81.5156,5722,460.8,"Marion, VA"
Elsa,TX,26.2978,-97.9936,5721,1058.2,"Elsa, TX"
Waynesboro,GA,33.0909,-82.0145,5720,403.6,"Waynesboro, GA"
Evansville,WI,42.7781,-89.2967,5720,677.8,"Evansville, WI"
Fairview,GA,34.9295,-85.294,5718,293.3,"Fairview, GA"
Glencoe,MN,44.7699,-94.151,5712,696.9,"Glencoe, MN"
